	Wort	Emotionalität	Sentiment Score	Valence Rating	Korrelation	Interpretation
0	Wunicher	emo	[0.1779, 0.8248, -0.4404, 0.2023, -0.7506, 0.5171, 0.9612, 0.7003, -0.3182, -0.5033, 0.0, -0.6369, -0.2023, 0.836, 0.9477, -0.743, -0.9423, -0.9287, -0.2732, 0.7184, -0.1027, -0.6597, 0.9786, -0.8519, 0.8779, 0.3818, -0.8979, -0.8885, 0.9274, -0.8442, 0.0516, -0.5423]	[-3, -2, -2, -2, -2, -1, -2, -1, -2, -2, -2, 2, -2, -2, -2, -2, -1, 1, -2, -3, 2, -3, -3, -2, 0, 2, 1, 1, 0, -2, -2, -2]	(-0.1780765444663414, 0.32951177333158205)	weak
1	Wunicher	neu	[0.0, -0.6369, 0.3612, 0.1027, -0.5136, -0.9081, 0.0, 0.6908, 0.6597, 0.5267, 0.7648, 0.4404, 0.0, -0.836, -0.296, -0.4404, 0.4588, -0.7623, 0.8934, 0.0, 0.9118, 0.7269, -0.1446, 0.9136, 0.4215, -0.8316, 0.0258, -0.8689, 0.4019, -0.4588, -0.5423, 0.802, -0.2732]	[-2, -1, -2, -1, 1, -2, -2, -1, -1, -2, -1, -1, -2, 0, -1, -1, -2, -2, -1, 0, 0, -2, -2, 1, -1, -1, -1, -1, -1, -2, -2, -3, 0]	(0.0017224142096460213, 0.9924098473114581)	weak
2	Neif	emo	[0.5994, 0.25, 0.4404, 0.6486, 0.4588, -0.6369, -0.4106, -0.872, 0.8225, 0.7351, 0.743, 0.0, 0.7906, 0.9451, -0.8176, -0.5574, 0.8126, -0.7003, -0.128, -0.9022, -0.8176, -0.128, 0.6808, 0.9382, 0.0, 0.836, 0.128, 0.2732, 0.872, -0.836, 0.5994, 0.8658, 0.926]	[3, 3, 2, 1, 1, 3, 1, 3, 1, 2, -2, 2, 0, 2, 3, 2, 2, -3, 2, 3, 2, 2, 3, 2, 2, 0, 2, 3, 1, 3, 3, 3, 2]	(-0.15283521230277194, 0.39581277878694)	weak
3	Neif	neu	[0.1531, -0.8225, 0.926, -0.1531, -0.3246, 0.5267, 0.2732, 0.7269, 0.7845, -0.1779, -0.872, 0.5574, 0.1027, -0.2023, 0.5719, -0.6808, -0.8979, -0.3182, 0.0, 0.4215, -0.5859, -0.7506, -0.9201, 0.8807, -0.128, 0.93, 0.8481, 0.7506, 0.7717, -0.8519, 0.5994, 0.25, -0.836]	[1, 2, 0, 3, 1, 2, 0, 1, -1, 0, 1, 1, 0, 1, 2, 1, 1, 1, 1, 2, 2, 3, 2, -1, 1, 2, 1, 3, 1, 1, 2, 1, 2]	(-0.2544833734814341, 0.15295223176669495)	weak
4	Zimerhubst	emo	[0.7717, 0.1779, 0.7717, -0.6908, -0.3612, 0.2263, -0.9136, 0.0, 0.6369, -0.0516, 0.0, 0.802, -0.9287, 0.7906, 0.9661, -0.3818, 0.9482, 0.7506, -0.8807, 0.6249, 0.6124, -0.6124, 0.2263, 0.5859, 0.6597, -0.8481, -0.6486, 0.6486, -0.765, 0.7351, -0.8935, -0.765]	[-3, -3, -2, -2, -3, -2, -2, -3, -3, -2, -3, 1, -2, -3, -2, -3, 0, -1, -2, -2, 2, 3, -3, -2, 1, -2, -1, 0, -1, -3, -3, -3]	(0.13858781314460283, 0.4493845070364335)	weak
5	Zimerhubst	neu	[0.9231, 0.9022, -0.5994, -0.6249, 0.8779, 0.9118, -0.2023, 0.8807, -0.93, 0.0, 0.0, 0.4939, 0.8834, -0.25, 0.0, -0.6249, 0.25, 0.7269, 0.5106, -0.836, 0.0, -0.8271, -0.8176, 0.8934, -0.6588, -0.3182, 0.6597, 0.7269, -0.8934, -0.7101, 0.3818, 0.7964]	[-1, -1, -2, 1, -1, 0, -2, -1, -1, -1, -1, -2, 1, 0, -2, -2, 0, -2, -2, -1, -2, -1, 1, -1, -1, -1, -1, -1, -1, -2, -3, 2]	(0.07602572861896824, 0.6791998046222961)	weak
6	Zwelde	emo	[-0.6124, -0.128, -0.3182, -0.5859, 0.7351, 0.8834, 0.9686, 0.2878, -0.4019, 0.8442, -0.946, 0.7906, -0.7269, 0.1779, 0.0, 0.34, -0.7269, -0.9683, 0.765, 0.4215, 0.9274, -0.91, -0.5267, -0.891, -0.3612, 0.8807, 0.9468, 0.6369, 0.3818, 0.93, -0.7579, -0.9022, -0.3818]	[3, 3, 3, 3, 2, 3, 2, 2, 2, 3, 3, 2, 1, 0, 3, 2, 3, 3, 2, 3, 0, 2, 3, 3, 2, 1, 2, 3, 0, 2, 3, 3, 2]	(-0.37283506096389585, 0.03260480422958626)	moderate
7	Zwelde	neu	[-0.5267, 0.9062, 0.6486, -0.9246, -0.8316, 0.0772, 0.2023, -0.4215, 0.9371, 0.6124, 0.8176, 0.8074, -0.872, 0.0, 0.886, 0.8555, 0.2263, 0.6124, 0.8442, 0.34, 0.8979, 0.8957, 0.7964, -0.3182, 0.7579, 0.296, 0.9485, -0.4019, 0.765, 0.8176, 0.0, 0.7579]	[2, 1, 2, 3, 0, 1, 0, 2, 0, 2, 3, 0, 0, 2, 1, 2, 0, 1, 2, 1, 1, -1, 1, 0, 1, 1, 1, 0, 0, 0, 2, 2]	(-0.04953898566300369, 0.7877368042621999)	weak
8	Herklögen	emo	[-0.6597, -0.4588, -0.7308, 0.0516, -0.6705, -0.4063, -0.6597, 0.9169, -0.4767, -0.1779, 0.0, 0.7964, -0.6908, 0.34, -0.7845, -0.9042, -0.9289, -0.9001, 0.8074, 0.6705, 0.8658, -0.8689, 0.6597, -0.7269, 0.9186, -0.8625, -0.0772, -0.5379, -0.8555, 0.8225, -0.6249, 0.9538]	[3, 2, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 1, 3, 0, 3, -3, 3, 3, -1, 2, 3, 3, 3, -1, 3, 3, 0, 1, 3, 3, 3]	(0.09050778605393121, 0.6222722575840022)	weak
9	Herklögen	neu	[0.6486, 0.2732, -0.6124, -0.8625, 0.959, 0.9118, 0.4767, 0.9442, 0.743, 0.8555, 0.891, -0.3818, 0.0, 0.9403, 0.0, 0.2732, 0.8885, 0.5106, -0.4215, 0.936, 0.5267, -0.2732, -0.7688, 0.1531, -0.0516, -0.4922, 0.7506, -0.9186, -0.4404, 0.7184, -0.6249, 0.0, 0.9432]	[1, 1, 2, 2, 2, 2, 2, 2, 2, 0, 2, 3, 2, 2, 1, 3, 1, 2, 2, 3, 2, 0, 1, 0, 1, 3, 1, 2, 2, 1, 1, 2, 1]	(-0.07167863266635902, 0.6918128593103119)	weak
10	Preier	emo	[0.5574, -0.4404, -0.8979, 0.3818, 0.7003, 0.2732, 0.9485, -0.2263, 0.0, 0.7291, 0.5574, 0.91, 0.765, 0.8176, 0.7783, 0.8966, 0.9776, -0.802, 0.7845, 0.802, -0.34, 0.9274, 0.6486, 0.6705, -0.836, -0.8074, 0.7964, 0.4404, -0.7096, 0.9042, 0.0]	[-2, -1, 0, -1, -1, 1, -1, -1, -1, 1, -2, 2, -1, 0, -1, -1, 0, -1, -3, -2, -3, -2, -2, 0, -1, 2, 1, 0, -2, -2, -1]	(-0.02621608872972775, 0.8886674923505633)	weak
11	Preier	neu	[0.0, 0.296, -0.9287, -0.6808, 0.5574, 0.8481, 0.5719, 0.9531, 0.743, -0.6705, 0.25, -0.4449, -0.1531, -0.7351, 0.4588, -0.4019, -0.4404, -0.1027, 0.8402, -0.9493, 0.4404, -0.9726, 0.6808, -0.296, 0.5719, 0.9022, 0.875, 0.9524, 0.7269, 0.4973, 0.0, 0.6808, 0.0]	[-1, -1, -2, -1, 0, 0, -1, -1, -1, -2, -1, -1, -1, -1, 0, -1, -1, -1, -1, -2, -1, -1, -1, 2, -1, -1, -2, -1, -1, -1, -1, -3, 1]	(0.05643143530160222, 0.7550990781106632)	weak
12	Muschürdur	emo	[0.0258, -0.9607, -0.0772, -0.875, 0.6908, 0.921, 0.34, 0.8591, 0.9217, 0.34, 0.6369, -0.0258, 0.9153, 0.875, 0.9001, -0.296, 0.886, 0.3818, 0.8934, 0.9423, 0.6808, 0.8402, 0.4767, -0.4449, -0.128, 0.0, 0.8126, -0.4939, 0.4588, 0.9287, 0.9169, -0.9022]	[-3, -2, -2, -3, -2, -2, -3, -3, -3, -2, -3, 0, -2, -3, -3, -2, -2, -1, -2, -3, 2, 3, -3, -2, 1, 2, -2, 0, -1, -1, -2, -3]	(-0.03935367588976637, 0.8306690401566621)	weak
13	Muschürdur	neu	[-0.0258, 0.1774, 0.9081, -0.2263, 0.4019, 0.9382, 0.9628, 0.0, 0.802, -0.8834, 0.7783, 0.8979, 0.0, 0.5574, 0.0, 0.25, 0.7096, 0.3182, -0.5719, 0.7269, 0.8779, -0.8555, -0.9669, 0.9153, -0.6249, 0.9468, 0.5859, 0.4215, -0.5106, -0.4215, -0.5106, -0.5267, 0.8074]	[-1, -1, 0, 0, 0, 0, -1, 0, -1, -2, 0, 0, -1, -2, 0, -1, -1, 0, -1, 0, 0, 0, 0, 1, 0, -1, 0, -2, 0, 0, -1, -1, 0]	(0.12720976252629496, 0.4805231071336177)	weak
14	Ismiprämpf	emo	[0.34, 0.6369, 0.5574, 0.9442, 0.6124, -0.7455, 0.7717, 0.7269, 0.0, 0.9326, 0.3612, -0.3612, -0.2263, -0.7096, -0.8658, 0.1877, 0.8934, -0.9325, 0.6908, 0.0772, 0.7474, 0.9001, 0.8591, -0.4998, 0.9633, 0.9682, 0.9478, -0.0475, -0.4767, 0.3612, 0.2732, -0.5106]	[2, 2, 2, 1, 1, 1, 0, 2, 2, 2, 2, 0, 2, 2, 1, 2, -1, 1, 2, 2, 2, 3, -1, 2, 1, 2, 3, 0, 3, 2, 3, 2]	(-0.032218416366305985, 0.8610411945461568)	weak
15	Ismiprämpf	neu	[-0.3818, 0.0258, 0.8225, -0.9154, 0.6808, -0.7579, 0.875, 0.34, 0.802, -0.4404, 0.9628, 0.7096, 0.4019, 0.8442, -0.4588, 0.4404, 0.9612, 0.128, 0.7579, 0.9231, -0.7717, 0.802, -0.8934, 0.872, 0.9246, 0.8555, -0.8402, 0.8807, 0.4767, -0.6705, -0.7351, 0.1027, 0.4588]	[0, 2, 1, 1, 1, 0, -1, 1, 1, 0, 1, -3, 1, -1, 0, 1, 0, 0, 0, 0, 1, 2, -1, 0, -1, -1, 0, 2, 0, -1, 0, 0, 1]	(0.03663990677707286, 0.8395788276657338)	weak
16	Glühm	emo	[0.9287, 0.5719, 0.9186, 0.9517, 0.9538, -0.7717, -0.34, 0.0516, -0.836, -0.9633, 0.4404, 0.0, -0.6908, -0.5423, -0.0516, -0.765, 0.9825, 0.296, -0.8126, 0.5267, -0.6808, 0.8979, 0.9246, -0.9337, -0.8807, 0.9393, -0.7906, 0.8402, -0.1779, 0.8316, 0.8689, 0.8807, 0.0258]	[-2, -1, -2, -1, 0, -1, -2, -1, -2, -2, 0, -1, -2, -2, 0, 0, -1, -1, -1, 0, 0, 1, -2, -2, -1, -1, -1, -1, 0, -1, 0, -3, 0]	(0.12669995975520731, 0.4822981054323245)	weak
17	Glühm	neu	[0.4939, 0.8126, 0.9136, -0.9217, -0.3612, 0.9751, -0.0516, -0.4939, -0.0609, -0.6136, 0.1531, 0.5574, -0.1779, -0.8885, 0.7003, 0.7028, -0.9618, 0.9287, -0.9207, 0.9186, 0.7351, -0.7269, 0.9081, -0.836, -0.1779, -0.743, 0.5267, -0.1531, -0.7506, -0.875, -0.9403, -0.5267]	[1, 0, -1, -2, 0, 0, 0, 1, 0, 0, 0, -3, -1, 0, 0, -1, -1, -1, 0, -2, 2, 3, 2, 0, 1, -1, 0, 0, 1, -1, -1, 0]	(-0.02119404372227815, 0.9083386324752108)	weak
18	Rugliebast	emo	[-0.7184, -0.2732, 0.91, 0.0, 0.2484, -0.926, -0.5859, -0.6486, 0.4404, 0.9719, -0.4588, -0.4019, -0.1779, 0.836, 0.9538, -0.8885, -0.7964, -0.4215, -0.9741, -0.7506, 0.4215, 0.5106, -0.9022, -0.8689, 0.8807, 0.5859, 0.8807, 0.9186, 0.946, 0.4404, 0.5267, -0.8779]	[-2, 0, -2, -2, -2, 0, 0, 0, -2, 0, -1, -3, 0, -2, -1, -2, 3, 1, -1, -1, 2, 3, -2, 0, 1, 2, 2, 0, 1, -3, 1, -2]	(0.20672424988181953, 0.2562923068113766)	weak
19	Rugliebast	neu	[0.8126, 0.7099, 0.4019, -0.743, 0.296, 0.886, 0.0, -0.4019, 0.296, 0.128, -0.6908, -0.743, -0.5423, 0.9201, 0.0, 0.5106, -0.8807, 0.0, 0.8126, 0.8934, 0.5574, 0.936, 0.9801, -0.8885, 0.886, -0.7783, -0.6597, 0.9081, -0.0258, 0.743, 0.0, -0.7783, 0.802]	[-1, 1, -1, 0, 2, -1, 0, -1, 0, -2, 1, 3, -1, -2, 0, 0, 0, 2, 1, 0, 1, 0, -1, 1, 0, 0, 1, 2, 0, 0, 1, 0, 2]	(-0.15609285659025873, 0.3856981019807321)	weak
20	Wumeizauch	emo	[0.9042, -0.9674, 0.1531, 0.0, 0.7096, 0.0258, 0.7906, 0.34, 0.8438, 0.0, 0.8271, -0.4019, 0.4767, -0.6486, 0.7269, 0.3612, 0.9451, -0.7506, 0.9186, 0.9571, 0.9081, -0.1779, 0.6597, -0.8834, -0.3818, 0.886, -0.9153, 0.2023, 0.8173, 0.926, 0.9062, 0.5267]	[-3, -3, -2, -2, -2, -2, -3, -1, -2, -1, -1, -1, 1, -2, -2, -3, -3, 0, 0, -2, -2, 2, -2, -2, -2, -1, 2, -2, 1, -1, -3, -3]	(-0.2208329377839607, 0.22452535937670098)	weak
21	Wumeizauch	neu	[-0.3182, 0.25, -0.3182, 0.6705, -0.8225, 0.8807, -0.7184, 0.8885, -0.7003, 0.552, 0.9468, -0.4215, -0.5719, 0.5106, -0.0516, 0.8555, -0.6249, 0.4939, 0.0, -0.4404, 0.6052, 0.0, 0.6249, 0.8519, -0.7964, 0.8658, 0.6808, 0.0, 0.8702, -0.5994, -0.7096, -0.4767, 0.0]	[0, -2, -1, -1, -1, 0, 0, -1, -1, -1, -1, -2, -1, -1, 0, -1, -2, 0, 0, 0, 0, -1, -2, 1, 0, -1, -1, -2, -1, -2, -1, -2, 2]	(0.10690085643672245, 0.5537696454571522)	weak
22	Häugnung	emo	[-0.296, 0.5859, -0.9287, -0.872, -0.3612, 0.5267, 0.3612, 0.4767, -0.3018, 0.5267, 0.0516, 0.0, -0.6597, 0.8126, 0.6124, -0.296, -0.5267, 0.9022, 0.2023, 0.9136, 0.9201, -0.8481, 0.8442, 0.9337, -0.7096, -0.7717, 0.3818, 0.9678, 0.0, 0.926, 0.8316, 0.3818, -0.7096]	[2, 3, 2, 3, 3, 1, 1, 2, 1, 2, 2, 3, 3, 1, 1, 2, 2, 1, 2, 3, 2, 2, 2, -1, 2, 2, 1, 3, 1, 2, 2, 1, 2]	(-0.2852190455012311, 0.1076373745536102)	weak
23	Häugnung	neu	[0.7096, 0.8176, -0.4019, 0.34, -0.5859, 0.5423, 0.5267, -0.7269, 0.6808, 0.807, 0.0, -0.6705, -0.2263, 0.872, -0.0516, 0.8225, -0.9513, 0.5719, -0.7506, -0.7601, 0.2263, 0.9729, 0.9801, 0.6705, 0.7096, -0.4588, 0.7096, -0.5719, -0.8957, 0.3182, -0.8184, -0.4019]	[2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, -1, -1, 2, 1, 1, 2, 0, 1, -1, 1, 2, 0, 1, 0, 3, 0]	(-0.1445468037440492, 0.42993291540087625)	weak
24	Wupforau	emo	[0.9451, -0.2732, 0.7351, 0.6808, 0.9349, 0.8689, -0.4939, 0.9661, 0.7906, -0.8579, -0.8555, 0.0, 0.9001, 0.7845, 0.8658, 0.8934, 0.9719, 0.9313, -0.8474, -0.9451, -0.8074, -0.4404, -0.9432, -0.9001, 0.9042, 0.0, -0.802, 0.3182, -0.7506, -0.3818, 0.9552, 0.9382]	[3, 2, 1, 2, 1, -2, 1, 3, 3, 3, 2, 3, 1, 3, 1, 2, -2, 1, 3, 2, 1, 3, 3, 3, 0, 2, 3, 1, 2, 3, 3, 2]	(-0.3815419804760978, 0.03118399384254242)	moderate
25	Wupforau	neu	[0.6369, 0.899, 0.8442, -0.891, 0.6486, -0.7351, -0.5106, 0.0772, 0.7351, -0.8074, -0.1027, 0.9468, 0.0, -0.9042, 0.6369, 0.9001, 0.936, -0.8625, 0.6705, 0.7184, -0.7749, 0.9217, 0.7906, 0.128, -0.6369, 0.7579, 0.0, 0.765, -0.4019, -0.4019, -0.9153, -0.128, -0.7096]	[0, 0, 1, 2, 3, 2, 0, 1, 1, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, -1]	(-0.07045555895088323, 0.6968211086415228)	weak
26	Bismirbiel	emo	[-0.6124, -0.9169, -0.5423, -0.7269, 0.4404, 0.0, 0.967, -0.9628, 0.8957, 0.9432, -0.8465, -0.6705, 0.7003, -0.8689, -0.7184, -0.34, 0.4019, 0.9791, -0.7506, 0.9118, 0.0, 0.8957, 0.0772, 0.9805, -0.8126, 0.128, -0.802, 0.7845, -0.7269, 0.2023, -0.765, 0.7964, 0.0]	[-2, -1, -2, -2, -1, -2, -1, -2, -2, -1, 2, -2, 0, -2, -1, -3, -1, -2, -1, -2, 0, 2, 2, -2, -2, 0, 2, -1, 1, 1, 0, -1, -2]	(-0.02307029382402951, 0.8985957819001467)	weak
27	Bismirbiel	neu	[0.0, 0.8402, -0.1779, -0.9776, -0.7913, 0.9349, -0.0915, 0.5719, -0.2263, -0.0772, 0.7269, -0.9153, -0.4767, 0.9382, 0.4767, -0.296, 0.1027, -0.0572, 0.0, 0.4588, 0.7351, 0.886, 0.9423, -0.4215, 0.8519, 0.9442, -0.5106, 0.5106, 0.5994, 0.959, 0.0, 0.4767, -0.8176]	[0, -1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 1, -1, -2, 0, -1, -1, 0, -1, -1, 0, -2, -2, -1, 0, 1, 0, -2, 0, 0, 0, 0, 0]	(-0.26787017490347453, 0.1317694112287674)	weak
28	Enkmitas	emo	[-0.9231, 0.2732, 0.5267, -0.8225, 0.886, 0.765, 0.9501, -0.296, 0.5994, -0.1872, -0.3612, 0.7964, 0.8625, -0.6808, 0.9371, -0.8176, -0.4767, 0.802, 0.0772, 0.3818, 0.969, -0.743, 0.9638, 0.9186, -0.5267, 0.8586, -0.7845, -0.25, 0.34, -0.836, 0.9442, 0.7845]	[-2, -2, -2, -2, -1, -3, -1, -2, -2, -1, -1, 1, -2, -3, -1, -2, 2, -1, -3, -2, 2, -1, -2, -1, -1, 1, 1, 0, 0, -1, -3, -2]	(0.0164115228261678, 0.928962858158842)	weak
