	Wort	Emotionalität	Sentiment Score	Valence Rating	Korrelation	Interpretation
29	Enkmitas	neu	[-0.3182, -0.7605, -0.926, 0.1027, -0.7184, -0.2263, 0.5994, 0.1531, -0.2023, 0.93, 0.6908, 0.8834, -0.4019, -0.6124, 0.0, 0.0, -0.6124, -0.4215, 0.8519, -0.9423, 0.7845, -0.8481, -0.947, 0.8834, 0.765, -0.8935, -0.3818, -0.3612, 0.4939, -0.25, -0.8834, 0.5267, 0.6705]	[-1, -1, -3, 0, 2, -1, -2, -1, -1, -1, 1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, -1, -2, -1, -1, 0, -1, 2]	(0.25374348517952133, 0.15419081403571902)	weak
30	Mege	emo	[0.7003, -0.4019, 0.8528, -0.5994, 0.8442, -0.743, -0.9169, 0.0, 0.4019, -0.7269, 0.4215, -0.7351, -0.765, -0.8658, 0.7003, -0.8176, 0.9854, -0.4588, -0.9612, 0.7906, -0.8316, -0.6124, 0.7096, 0.9371, 0.4019, -0.7717, -0.1451, -0.886, -0.8658, -0.8689, -0.7906, 0.7579]	[3, 2, 2, 2, 1, 1, 1, 2, 2, 0, 2, 0, 2, 3, 3, 3, 2, 2, 3, 2, 2, 3, 3, 2, -1, 2, 1, 1, 2, 3, 2, 2]	(0.04063894039133076, 0.8252222611105272)	weak
31	Mege	neu	[0.5574, 0.34, -0.4215, 0.8225, 0.9169, -0.7845, -0.2755, -0.4019, 0.9393, 0.0258, 0.4939, 0.9382, 0.4588, 0.836, 0.0, 0.0, 0.93, 0.0772, 0.2732, -0.6749, -0.8039, -0.4215, 0.558, 0.128, -0.7208, -0.7096, 0.8316, 0.5859, 0.9153, 0.2023, 0.8658, 0.0258, -0.5994]	[1, 2, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 3, -1, 1, 0, 2, 2, 1, 1, 3, 0, -1]	(0.24087298774077606, 0.17690794833194412)	weak
32	Faube	emo	[0.4767, -0.1779, -0.6124, 0.9676, -0.4767, 0.872, 0.9231, -0.6808, 0.0516, 0.6249, 0.0, 0.0258, -0.296, 0.5719, 0.34, 0.4215, -0.5719, 0.4767, 0.872, -0.9153, 0.743, 0.9524, 0.9592, -0.0258, 0.5574, 0.926, -0.34, -0.5267, -0.7717, 0.0, -0.765, -0.296, 0.4588]	[1, 1, 2, 3, 2, 1, 2, 0, -1, 1, 2, 3, 2, 1, 0, 0, 1, -1, 1, 3, 2, 0, 3, 1, 2, 1, 1, 1, 2, 0, 2, 3, 0]	(-0.13970823521206754, 0.43808461023465156)	weak
33	Faube	neu	[0.34, 0.9744, 0.7906, -0.2732, 0.8934, 0.8934, -0.6369, 0.7964, 0.0772, -0.6728, 0.8271, -0.4939, 0.7096, 0.9661, 0.8225, -0.8316, -0.9758, 0.3612, 0.6908, 0.2732, 0.7598, 0.4019, -0.6249, 0.7017, 0.7783, -0.8979, -0.296, -0.743, -0.7964, 0.8957, -0.4215, -0.6597]	[2, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 1, -2, 1, 1, -1, 0, 1, 1, 1, 2, 0, 0, 2, 2, 1, 2, 2, 1, 1]	(-0.4745524223172207, 0.006065552233664534)	moderate
34	Odef	emo	[0.128, -0.5994, 0.0, 0.9313, 0.6788, 0.8625, 0.296, -0.7851, 0.7184, 0.8316, -0.8176, 0.886, 0.9118, 0.0516, 0.0, 0.0, 0.9812, 0.0516, 0.0, 0.6808, 0.8176, -0.8074, 0.5627, 0.0772, 0.926, 0.4588, -0.6249, 0.8271, 0.25, -0.3612, -0.3818, 0.4939, 0.9231]	[2, 3, 2, 3, 2, 2, 3, 2, 1, 2, 3, 2, 2, 1, 3, 2, 2, 1, 3, 3, 2, 3, 3, 1, 2, 3, 3, 3, 3, 2, 2, 1, 1]	(-0.2219451121059417, 0.21446928460859077)	weak
35	Odef	neu	[0.891, -0.7783, -0.4215, -0.5719, 0.0, -0.2023, 0.9758, -0.7184, 0.4599, 0.0, 0.7003, 0.4767, 0.9062, 0.9274, 0.5574, -0.9392, 0.4019, -0.5962, -0.6808, -0.1779, 0.9432, -0.9169, 0.765, -0.4019, 0.2023, 0.4404, 0.8625, 0.128, 0.5965, 0.5994, 0.0, -0.7783, 0.8834]	[3, 2, 1, 2, 2, 0, 2, 1, 2, 2, 1, 0, 0, 1, 0, 2, 3, 2, 1, 3, 2, 2, 2, 1, 3, -1, 2, 2, -1, 1, 2, 2, 3]	(-0.09765297176767375, 0.5887568435987949)	weak
36	Skibt	emo	[-0.34, -0.8176, 0.0, 0.8271, -0.6249, -0.875, 0.8176, 0.3818, 0.7184, 0.8316, 0.4404, -0.875, 0.6249, 0.5423, 0.0, 0.7003, -0.7096, -0.9118, 0.0, 0.6249, -0.9423, 0.6124, -0.8688, 0.93, 0.8074, -0.0976, 0.8979, 0.0, 0.765, 0.6369, -0.1027, -0.9501, 0.9403]	[2, 3, 3, 3, 0, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 3, 3, 0, 2, 2, 2, 3, 2, 1, 2, 1, 1]	(-0.03374871828757724, 0.852092547243586)	weak
37	Skibt	neu	[-0.9493, 0.9623, -0.7717, -0.9313, 0.34, -0.4404, 0.9468, 0.9382, 0.4588, 0.7351, -0.3182, 0.836, 0.743, -0.2732, -0.8271, -0.3182, 0.2023, 0.0258, -0.8271, 0.836, 0.6908, -0.8885, -0.7717, -0.0258, -0.9093, 0.9524, -0.0516, 0.1513, -0.5106, 0.8481, 0.9085, 0.6249]	[3, 0, 1, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 2, 2, 2, 2, 0, 2, 0, 1, 2, 1, 3, 2]	(-0.09889235309740085, 0.5902418657435784)	weak
38	Mölauzegt	emo	[0.4019, 0.6486, -0.5106, 0.9403, 0.9231, 0.802, 0.4404, -0.7269, -0.3612, -0.4215, 0.9042, 0.9545, 0.0, 0.875, 0.0, 0.7579, 0.8126, 0.6908, 0.3182, -0.7184, 0.6369, 0.0, -0.743, 0.765, 0.91, -0.0572, 0.6908, 0.6369, -0.6808, 0.743, 0.8126, 0.9118, 0.34]	[-2, -3, -2, -3, -1, -2, -2, -2, -1, -2, -1, -3, -3, -1, -1, -2, -2, -1, -3, -2, -1, -2, -2, 1, -2, -3, -3, -3, -3, -2, -3, -3, 1]	(0.05581303235710701, 0.7577023807521661)	weak
39	Mölauzegt	neu	[-0.1027, 0.7096, 0.8885, -0.4404, -0.9186, 0.5804, 0.4404, -0.7717, 0.5106, 0.886, 0.0, -0.9382, 0.7003, 0.5574, -0.6124, -0.8316, -0.972, 0.8591, 0.2263, 0.1027, -0.7506, 0.743, -0.5355, 0.9844, 0.7696, 0.3182, 0.0, 0.9738, 0.6808, 0.7269, -0.9277, 0.5106]	[2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 3, 0, 1, -1, 2, 2, 0, 0, 1, 0, 0]	(-0.12616848682259235, 0.49140344593895213)	weak
40	Troff	emo	[0.0, -0.6412, 0.0516, -0.8807, 0.9709, -0.5574, -0.1999, -0.7506, -0.8049, -0.0571, 0.0, 0.6808, 0.3182, -0.5277, 0.0, -0.7096, 0.8519, 0.7506, -0.5106, 0.7579, -0.7717, 0.9169, 0.6124, -0.836, 0.25, 0.7845, -0.8807, 0.4588, -0.6597, -0.5574, -0.1531, 0.2732, -0.2023]	[2, 3, -1, 3, 2, 1, 1, 2, 3, 1, 2, 3, 2, 2, 3, 1, 1, 1, 2, 3, 1, 1, 3, 0, 2, 3, 2, 3, 2, 1, 3, 2, 2]	(0.12391908391622702, 0.49203972316504224)	weak
41	Troff	neu	[-0.5423, -0.8316, 0.5106, 0.875, 0.7184, 0.5719, 0.4215, -0.9349, -0.872, -0.1027, -0.836, 0.8555, 0.7845, -0.2023, 0.8176, 0.7096, 0.9062, 0.9875, 0.9136, -0.7783, -0.5859, 0.6908, 0.8732, -0.8807, -0.6705, 0.4215, 0.4588, -0.5859, 0.959, 0.3818, -0.872, -0.8442, 0.0]	[-1, -1, -1, -1, 1, -1, 0, 2, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1, 0, 2, 0, 1, 3, 0, 1, 0, 0, 2, 1, 2, 0, 1, -1]	(-0.04485161202590634, 0.804256028075259)	weak
42	Bingsemöl	emo	[0.4939, 0.8641, 0.9349, 0.8074, 0.9313, 0.765, -0.6249, 0.7003, 0.7269, 0.9477, 0.9062, 0.4588, -0.7506, 0.5859, -0.4939, -0.3818, -0.296, -0.6249, 0.0, 0.9382, -0.9349, -0.6124, 0.7184, 0.6369, 0.6908, 0.3975, 0.5859, 0.8779, 0.25, 0.2023, -0.4404, 0.4404, -0.743]	[-2, -1, -1, -2, -1, -1, -2, -1, -1, -2, 0, 1, -2, 0, 0, -1, -1, 2, -1, 0, 0, 1, -2, 0, 0, -1, 1, -2, -2, -1, -2, -1, 2]	(-0.25479375968183104, 0.1524347892855626)	weak
43	Bingsemöl	neu	[0.3182, -0.8779, 0.5719, 0.0, 0.3182, 0.6597, 0.9509, -0.6705, 0.0, -0.5974, 0.2263, 0.891, -0.9136, -0.8658, -0.91, 0.0258, 0.9801, -0.6808, -0.9042, -0.7096, -0.5106, -0.9501, 0.8591, -0.9287, -0.6124, 0.9712, 0.9477, -0.8176, 0.8555, 0.3612, 0.5994, -0.3612]	[1, 1, 1, -1, 2, 3, 0, 1, 0, 0, 1, 0, -1, 0, 1, 1, 1, 1, 2, 2, 2, 3, 1, 1, -1, 1, 2, -1, 1, 0, 3, 2]	(0.12667758211283342, 0.48964260958335126)	weak
44	Ferandsor	emo	[-0.9001, 0.8555, 0.4767, -0.9517, -0.936, -0.8225, -0.4215, 0.765, -0.7269, -0.5994, -0.296, -0.6908, 0.5994, 0.93, 0.0, 0.4939, -0.7003, -0.8658, 0.0, -0.34, 0.9595, -0.4767, 0.8316, 0.0516, 0.3182, 0.9601, 0.6908, 0.0, 0.7845, -0.9081, -0.8225, 0.9081, 0.8481]	[-2, -1, -2, -3, 1, -2, -2, -2, -2, -1, -1, -3, -3, -2, -1, -3, -2, -2, -2, -2, -1, 2, 0, 0, -2, -3, -2, -2, -2, -2, -3, -3, 1]	(0.00048049474131407754, 0.9978825786168862)	weak
45	Ferandsor	neu	[0.0, -0.7351, 0.5859, 0.0772, 0.6369, -0.4756, 0.8689, 0.9531, 0.5994, 0.7906, 0.0, 0.9607, 0.0772, -0.4019, -0.765, -0.8402, -0.9186, -0.8689, 0.946, -0.5267, -0.8519, 0.9595, -0.4939, -0.8074, -0.6486, 0.8957, 0.91, 0.0, 0.9022, -0.802, 0.9081, -0.7717]	[-1, -2, -2, -1, 0, 0, -2, -1, -1, 2, -2, 0, -1, 0, 1, -1, -3, 0, -1, 0, 2, -3, 1, -1, 0, 2, -1, 1, 2, -1, -1, -2]	(0.023851891088238333, 0.8969013299536343)	weak
46	Struk	emo	[-0.8625, 0.0, 0.9638, -0.7579, 0.9794, -0.8689, -0.4767, 0.4404, 0.765, 0.9735, -0.431, -0.836, 0.93, -0.296, 0.0, 0.4939, -0.8225, -0.1531, 0.4585, -0.8807, 0.0516, -0.0258, 0.8689, 0.7783, -0.6705, 0.9638, 0.3818, 0.6808, -0.5719, -0.5574, -0.5423, 0.0, 0.743]	[2, 3, 3, 3, 2, 2, 3, 2, 2, -2, 3, 3, 3, 2, 3, 2, 3, 1, 0, 3, 3, 1, 3, 1, 2, 3, 3, 3, 3, -1, 3, 3, 0]	(-0.21271842719905737, 0.23462913451530162)	weak
47	Struk	neu	[0.6486, -0.2263, 0.34, 0.9062, 0.0, 0.7964, 0.7184, 0.9423, 0.0772, -0.9501, 0.0, -0.5859, -0.9517, -0.6705, -0.1027, -0.5423, -0.8991, -0.7579, 0.9719, 0.8126, -0.6808, 0.5423, -0.7717, 0.6249, 0.6369, 0.9136, -0.0258, 0.1779, -0.8442, -0.1027, 0.8481, 0.765]	[3, 2, 2, 2, 1, 2, 0, 3, 2, 1, 1, 1, 0, 2, 2, 3, 0, 2, 3, 2, 1, 3, 3, 2, 0, 1, 3, 0, 3, 1, 3, 1]	(0.17097210388836304, 0.34947981310376064)	weak
48	Vul	emo	[0.1027, 0.0, 0.5994, 0.6124, 0.9432, -0.6908, -0.3612, 0.8979, -0.6369, -0.6204, -0.7606, 0.8979, 0.7506, 0.0, 0.0, 0.9062, 0.7906, 0.7506, 0.7906, -0.9485, -0.9217, -0.6369, -0.8131, 0.836, -0.7579, 0.8176, 0.7906, 0.9136, 0.0, 0.802, 0.8885, 0.9287, -0.296]	[-2, -2, -3, -2, -1, 0, -2, -2, -2, -3, -2, -1, -2, -2, 0, -2, -1, -2, -2, -2, 0, -1, -2, 2, -2, -2, -3, -2, -2, -2, -3, -3, 1]	(-0.14669188068023864, 0.4152961949632205)	weak
49	Vul	neu	[-0.7096, 0.0, -0.34, 0.296, 0.9246, 0.8442, 0.7579, 0.7184, 0.0, 0.891, -0.836, -0.9612, 0.9702, 0.1779, -0.8521, -0.8689, 0.6369, 0.7579, 0.9062, -0.8271, -0.6908, 0.8316, 0.9545, 0.8442, -0.8225, -0.8481, -0.7579, 0.9403, 0.5994, 0.8834, -0.34, 0.3818]	[-1, 0, 0, -2, -1, 0, 1, -1, 0, 0, 0, 0, 0, -2, 0, -2, 0, 1, 0, -1, -1, 3, -2, 0, 0, -2, 1, 0, 2, -1, 0, -1]	(0.21270226809210266, 0.24248900151879144)	weak
50	Namistell	emo	[0.9485, 0.7311, 0.0, 0.2732, 0.9022, 0.5719, -0.7351, 0.9371, 0.5106, 0.9686, 0.0, -0.3612, 0.0, -0.8399, 0.0, 0.91, -0.8658, 0.0, -0.5423, -0.8555, 0.9623, -0.8885, 0.9001, -0.4588, -0.9153, 0.0, 0.5267, 0.5859, 0.5994, 0.765, 0.8885, 0.886]	[1, 3, 3, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 3, 3, 2, 1, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 3, 2]	(0.022427282898568268, 0.9030293509386516)	weak
51	Namistell	neu	[-0.5719, -0.926, 0.296, -0.8176, 0.0, -0.765, 0.765, 0.9468, -0.9001, 0.0, 0.9612, 0.34, 0.6249, -0.9022, -0.7269, 0.1027, 0.4215, 0.9883, -0.0772, 0.9382, -0.34, 0.8807, -0.1645, 0.9246, 0.9517, 0.2828, -0.3612, 0.6249, -0.8885, 0.6369, 0.5106, 0.9245, -0.3612]	[1, 2, 2, 1, 2, 2, 0, 1, 1, 3, 2, 1, 1, 0, 2, 1, 2, 0, 2, 2, 3, 3, 3, 2, 1, 0, 2, 2, 0, 1, 2, 3, 1]	(0.08916916109755572, 0.6216793052532078)	weak
52	Weforshank	emo	[-0.4019, -0.1027, 0.9468, -0.8378, -0.9325, -0.7096, -0.5994, -0.5994, -0.4842, -0.936, -0.0915, 0.34, 0.1027, -0.743, 0.0, -0.1027, -0.8316, -0.9274, 0.8979, -0.5719, 0.9169, 0.802, 0.1027, -0.9559, -0.1779, 0.0232, -0.9403, -0.296, -0.7964, -0.8442, 0.9217, 0.0, 0.8225]	[3, 3, 3, 3, 3, 1, 2, 2, 2, 2, 3, 3, 3, 2, 3, 2, 2, 3, 2, 3, 3, 3, 3, -1, 2, 3, 3, 3, 2, 1, 3, 2, 1]	(0.28321897532112605, 0.11023601801485325)	weak
53	Weforshank	neu	[-0.6908, 0.9477, -0.4019, -0.5423, -0.3818, 0.7783, 0.9022, -0.1779, 0.5994, 0.8442, 0.3818, -0.7579, 0.9482, -0.1779, 0.9781, -0.5211, 0.9858, -0.9287, 0.9612, -0.0258, -0.4215, -0.6249, 0.4019, 0.875, 0.9371, 0.5106, -0.8176, 0.0, 0.8519, 0.8625, -0.9565, 0.0]	[3, 2, 2, 3, 3, 1, 2, 3, 3, 2, 2, 1, 0, 2, -1, 3, 2, 2, 3, 2, 2, 3, 3, 2, 0, 1, 3, 0, 2, 3, 3, 0]	(-0.36020531937823796, 0.04285594349887988)	moderate
54	Plüpp	emo	[0.926, 0.0, -0.4404, 0.6486, 0.4215, -0.6597, 0.0, -0.7783, -0.9313, -0.5106, -0.4404, -0.296, 0.5267, -0.7351, 0.0, -0.7506, 0.93, 0.6808, 0.0, 0.875, -0.5719, -0.4588, -0.6369, -0.8074, -0.8442, -0.1779, 0.0, -0.7184, 0.2732, -0.875, -0.765, -0.7783, -0.7579]	[-1, -1, -1, -1, 1, -1, -2, -1, 1, -1, -1, -1, -1, -3, 0, -2, -2, -2, -2, -1, -1, -2, -1, 1, -1, -1, -2, -2, -1, -2, -1, -3, 1]	(-0.04421156919080231, 0.8069965147692625)	weak
55	Plüpp	neu	[0.4767, 0.9719, 0.7351, 0.7184, -0.7184, 0.2023, 0.1916, 0.9246, 0.6597, 0.765, 0.7096, 0.4767, 0.6369, 0.3612, 0.6486, 0.6369, -0.7717, 0.9153, -0.8658, 0.2023, 0.8481, 0.0547, -0.938, 0.7269, -0.6486, -0.9042, 0.9643, 0.0, 0.6369, 0.0258, 0.2732, 0.7003, 0.9186]	[-1, -1, 1, -2, -1, -2, 0, 1, -1, -1, 2, -1, 1, -1, -1, -1, -2, -1, 0, 1, -2, 1, 1, -2, -1, 2, 1, 1, 0, 3, -3, 2, -1]	(-0.12399014490788829, 0.4917895484419411)	weak
56	Bisknirgo	emo	[0.7506, 0.0, 0.9231, 0.7184, -0.3818, -0.34, -0.886, 0.2023, 0.5267, 0.9801, 0.0, 0.9726, 0.926, -0.8074, -0.8402, 0.9246, 0.9201, 0.9022, -0.7506, 0.0, 0.765, -0.6621, 0.8481, 0.91, -0.6124, -0.8225, 0.3182, 0.7845, -0.25, -0.296, -0.7453, 0.9709]	[3, 3, 3, 3, 3, 3, 0, 3, 3, 2, 2, 1, 0, 3, 2, 3, 3, 1, 3, 2, 1, 3, 3, 2, 1, 2, 3, 1, 3, 3, 2, 2]	(-0.08360993171905108, 0.6491454044258189)	weak
57	Bisknirgo	neu	[-0.6908, 0.0, -0.3612, 0.9301, -0.8934, 0.0, 0.6486, -0.4767, -0.296, 0.7269, -0.0258, -0.9382, 0.0, 0.8519, 0.8271, 0.2732, 0.886, -0.4215, 0.0, 0.9678, -0.9601, -0.9413, 0.9716, -0.7884, -0.34, 0.6597, 0.8225, 0.34, -0.4019, 0.7964, 0.5574, 0.8658, 0.0]	[2, 2, 1, 3, 3, 0, 0, 2, 2, 1, 1, 3, 2, 2, 1, 2, 2, 0, 2, 2, 1, 3, 1, 0, 0, 1, 3, 2, 0, 0, 2, 0, 0]	(-0.06254897121996057, 0.7294924879909505)	weak
58	Iberletsch	emo	[-0.886, 0.5859, 0.7783, 0.8591, 0.9559, -0.5106, -0.379, 0.8834, -0.4019, 0.6908, 0.3612, 0.9413, -0.296, -0.5267, -0.5267, 0.8807, -0.6908, 0.0, 0.0, -0.7964, -0.7351, 0.8807, 0.8885, 0.1531, 0.9468, -0.8885, 0.8807, -0.6908, 0.9022, 0.7184, 0.7717, 0.8807, -0.872]	[2, 3, 1, 2, 3, 2, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 2, 0, 2, 3, 3, 3, 3, 0, 3, 2, 3, 3, 3, 1, 3, 3, 2]	(0.12338846852215211, 0.4939098381478738)	weak
59	Iberletsch	neu	[-0.8126, -0.9674, 0.4215, 0.4767, -0.8885, 0.8714, -0.3182, -0.7756, 0.6124, -0.836, -0.3612, -0.8176, -0.9423, -0.8402, 0.9468, -0.765, 0.9878, 0.4548, -0.8957, -0.0516, 0.3806, -0.714, 0.8271, -0.8945, 0.4215, 0.836, -0.9042, 0.2263, 0.4019, 0.6369, -0.4939, 0.6705]	[1, 1, 1, -1, 0, 0, 1, 2, 2, 2, 1, -1, 1, 2, -2, 0, 1, 1, 2, 2, 2, 3, 3, 0, 0, 2, -2, 0, 0, 1, 3, 0]	(-0.07544686670628185, 0.6815144323802004)	weak
