	Wort	Emotionalität	Situation	Sentiment Score	Interpretation
0	Vul	neu	A neighbor's kid asks you for help with a math homework. You start to calculate and realize that a value is missing to solve the equation.	0.5719	emotional
1	Vul	emo	You ponder whether you passed your last exam and can finish your studies within the standard period of study. You are tense and nervous to the breaking point.	-0.5423	emotional
2	Vul	neu	You started writing your homework early. You come to a point where you need information that you guys won't discuss until next week.	0.0	neutral
3	Vul	emo	You had an argument with your partner. You bitterly ponder how to resolve your conflict. You are restless and cannot think clearly.	-0.8205	emotional
4	Vul	neu	You have to choose between two job offers. You notice on your pro/con list that a company is still missing important information in order to make a decision.	-0.1027	neutral
5	Vul	emo	Your thoughts revolve all the time around the question of whether you should change your job or not. It could be a big mistake to go, but you could also miss something. It is to despair.	-0.6757	emotional
6	Vul	neu	You have to get a Secret Santa gift for a work colleague. You don't know him/her that well and think about asking another colleague about his or her preferences.	0.6124	emotional
7	Vul	emo	There is a fight in your circle of friends. You are unsure what to say. You don't want to hurt anyone. You are sensitive and concerned.	0.2626	neutral
8	Vul	neu	You want to change your internet contract. There is a form online to apply for this. You don't have your customer number in your head, but you need it for the form.	0.0772	neutral
9	Vul	emo	You sit lonely and upset in your apartment. Again and again you feverishly roll over the events. How did this nasty breakup come about?	-0.8537	emotional
10	Neif	neu	You are working on a large project on an app for your employer. This should enable employees to contact each other. Your employer paid you for a programming course.	0.0	neutral
11	Neif	emo	You are enthusiastic about developing an app for a children's hospital. It is very important to you as you know the value of friendship and comfort in difficult times. You work hard at it every day.	0.8479	emotional
12	Neif	neu	You have been asked to create a logo for a club around the corner from you. You use your skills in a computer program to create multiple designs.	0.4939	neutral
13	Neif	emo	You happily plan a karaoke night at a nursing home. You have seen how much fun singing is for the residents and you do everything you can to do something good for them.	0.8689	emotional
14	Neif	neu	To save time at work by explaining a common computer problem. You use your experience and create detailed, step-by-step instructions for all employees.	0.3818	neutral
15	Neif	emo	In your free time you organize a big charity gala with dedication. You use every free minute with motivation, the good cause is close to your heart.	0.9287	emotional
16	Neif	neu	You thought it would be handy to have storage space under the bed. You use wood from the basement and your tools to build a drawer unit yourself.	0.0	neutral
17	Neif	emo	You spare no expense or effort to build your father a long-desired bookshelf. You buy high-quality materials and watch motivated tutorials. He deserves it.	0.2023	neutral
18	Neif	neu	You and your siblings want to start a business. You share the work among yourself and everyone contributes their part.	0.3612	neutral
19	Neif	emo	You are enthusiastically developing the new homepage for a friend. You love him*her very much and want the homepage to make him*her happy.	0.9457	emotional
20	Zimerhubst	neu	You went to bed late last night because you made a to-do list for work. You need a stronger coffee than usual to wake up properly.	0.3818	neutral
21	Zimerhubst	emo	You slept poorly last night because you were worried about failing at work today. Now you feel powerless and it seems completely hopeless to be able to meet the deadline.	-0.8999	emotional
22	Zimerhubst	neu	You went to bed late last night because you wanted to watch another episode of your series. Now you need some time to really wake up. Your eyelids are heavy.	0.0	neutral
23	Zimerhubst	emo	You didn't sleep a wink last night because today's presentation scared you. You are trying desperately to concentrate. You are totally exhausted.	-0.807	emotional
24	Zimerhubst	neu	You stayed up later than usual last night because you were still on the phone. You're kind of sluggish and you buy an energy drink on your way to work.	-0.2247	neutral
25	Zimerhubst	emo	Worries about today's interview kept you awake. You're now sitting dejected in the waiting area and could collapse.	-0.8481	emotional
26	Zimerhubst	neu	You were at a party last night and didn't get home until late. Today you are slower than usual and you need a little longer for everything.	0.4019	neutral
27	Zimerhubst	emo	You didn't sleep last night because you had an argument with your partner in the evening. You feel completely powerless and helpless. You can hardly keep your eyes open from exhaustion.	-0.8947	emotional
28	Zimerhubst	neu	You sorted out your old clothes last night and lost track of time. When you wake up, you realize that your circulation is not really getting going.	-0.3182	neutral
29	Zimerhubst	emo	You were very restless last night because your mother is in the hospital and you are worried about her. You feel miserable and don't know how to make it through the day.	-0.7778	emotional
30	Zwelde	neu	You wake up as a child and you can still remember the story from your dream. You were in the forest and there were animals in it.	0.25	neutral
31	Zwelde	emo	As a child, you wake up satisfied from a beautiful dream. It's almost Christmas and you've been dreaming of great presents.	0.9153	emotional
32	Zwelde	neu	You woke up this morning and remembered your dream unusually well. You review the dream.	0.659	emotional
33	Zwelde	emo	You wake up from a wonderful dream in which you were praised and promoted by your boss. You feel inspired and happy.	0.9559	emotional
34	Zwelde	neu	You wake up in the morning and for a moment you don't know where you are. You dreamed that you were with your parents, but you are in your own apartment.	0.0	neutral
35	Zwelde	emo	The sun on your face gently wakes you up. You dreamed that you were relaxing on the beach. You smile and enjoy the cozy warmth.	0.9313	emotional
36	Zwelde	neu	You wake up in the morning after dreaming that all people own planes instead of cars. You remember your dream well.	0.4767	neutral
37	Zwelde	emo	You had an amazing lunchtime daydream about how you're going to have fun with your friends over the weekend. This motivates you to work.	0.8807	emotional
38	Zwelde	neu	Last night you dreamed about the series that you currently watch in the evenings. The main characters also appeared in your dream.	0.25	neutral
39	Zwelde	emo	You dreamed of a romantic date with your crush last night. You smile blissfully and wish you could always dream like this.	0.8689	emotional
40	Herklögen	neu	After work you sit at dinner with your roommates in the shared kitchen. You've been living together for two years. You eat together and talk about your day.	0.34	neutral
41	Herklögen	emo	You meet up with your best friend. His*her mere presence calms you down and you feel everyday stress melt away and you relax.	0.8689	emotional
42	Herklögen	neu	After work, your partner will be waiting for you at home. You start a new series together after dinner.	0.0	neutral
43	Herklögen	emo	You come home from work and your partner hugs you lovingly. You relax and feel safe.	0.9217	emotional
44	Herklögen	neu	You are visiting a friend. You drink coffee together and go for a walk. You talk about this and that.	0.4939	neutral
45	Herklögen	emo	You're going home for a long weekend. You enjoy the time with your parents and feel protected like a child. you love her very much	0.9153	emotional
46	Herklögen	neu	You're at work and you're making yourself a coffee. Your colleague comes into the kitchen and also makes himself a coffee. You talk briefly during your break.	0.0	neutral
47	Herklögen	emo	You go out after work with some nice co-workers. You feel deep affection, your colleagues are almost like family.	0.813	emotional
48	Herklögen	neu	You go to a café at the weekend. You happen to meet an old friend there. You talk a little because you haven't seen each other for a long time.	0.4939	neutral
49	Herklögen	emo	You are at a tournament with your team at the weekend. You enjoy this day with your friends. The familiar company is good for you and you are happy.	0.9169	emotional
50	Preier	neu	You receive an invitation to a party scheduled for the weekend. You are considering going, but you still have a lot to do, which is why you are staying at home.	0.2144	neutral
51	Preier	emo	You were subsequently invited to a party as the last person in your circle of friends. You feel devalued and insulted. You get defiant and lie that you already have a date.	0.1531	neutral
52	Preier	neu	Your cell phone has a reduced battery life. You tell your brother about it and he offers you his old cell phone. You're not taking it so he can sell it.	0.0	neutral
53	Preier	emo	Your colleague successfully gives a presentation that you worked on. You pretend to be happy, but blame your colleague for not appreciating your cooperation.	-0.4514	neutral
54	Preier	neu	Your work colleagues ask you if you would like to have lunch with them at the diner around the corner. You decline because you brought something to eat from home.	0.3612	neutral
55	Preier	emo	A couple of work colleagues share a cake in the kitchen. You're hoping to be offered a piece, but you don't want to seem greedy. So you pretend you happen to have something to do in the kitchen.	-0.4216	neutral
56	Preier	neu	After visiting an acquaintance, you are offered a ride home. It would be a detour for her*him, which is why you decline the offer.	0.0	neutral
57	Preier	emo	You crave your crush's attention. You stubbornly ignore him*her to keep your pride. It tears you up inside not to talk to him*her.	-0.5267	emotional
58	Preier	neu	You are offered a seat on the tram for carrying heavy shopping bags. You don't want anyone to stand up for you, so you refuse. You stay put for the ride.	-0.402	neutral
59	Preier	emo	You get a message from your crush. You pretend you don't have time to reply so as not to seem desperate. You miss him*her terribly.	-0.6414	emotional
60	Muschürdur	neu	You wake up in the morning and you're still tired. You wonder why, because you actually got enough sleep. Sometimes your sleep doesn't seem so restful.	0.0878	neutral
61	Muschürdur	emo	You wake up feeling a deep sadness inside you, for no particular reason. It weighs you down all day and you feel overwhelmed.	-0.5267	emotional
62	Muschürdur	neu	You're at work on your computer when the crook of your arm starts itching for no apparent reason. You wonder why, but just keep working.	-0.1531	neutral
63	Muschürdur	emo	At work you find yourself in tears. You are stunned that desperation overtakes you so suddenly and you feel helpless.	-0.8074	emotional
64	Muschürdur	neu	After a phone call, you notice a rumbling in your stomach. You haven't actually eaten anything wrong. You try to distract yourself and make yourself some tea.	-0.6486	emotional
65	Muschürdur	emo	After a phone call with a friend, you suddenly become very melancholic. You're at a loss as to why you're so sad, but you can't get rid of this melancholy.	-0.7848	emotional
66	Muschürdur	neu	When you want to get up from your couch, you notice that your legs are heavy. You wonder where the sore muscles come from because you haven't done any sport for a long time.	-0.296	neutral
67	Muschürdur	emo	You're getting ready for bed when you suddenly feel like crying. You have no idea why you're so down. You feel drained and confused.	-0.6249	emotional
68	Muschürdur	neu	You get a little dizzy on the way home from work. You've actually drunk enough and eaten enough and are therefore wondering where the dizziness is coming from.	-0.4601	neutral
69	Muschürdur	emo	On the way home you suddenly have a lump in your throat and feel depressed. You're at a loss as to where it's coming from and you're self-conscious.	-0.6808	emotional
70	Ismiprämpf	neu	You have arranged to meet a friend in a café. You are there first and choose a table. Then you regularly check the front door to see if he*she is coming in.	0.4939	neutral
71	Ismiprämpf	emo	You pick up your beloved sister at the airport. You hope to all fellow travelers who step through the door that finally it is. You missed her very much and look forward to seeing you again.	0.6124	emotional
72	Ismiprämpf	neu	You have ordered printer cartridges that are supposed to come today. You don't want to miss the parcel carrier and therefore regularly go to the window to check whether the delivery truck is already on your street.	0.0572	neutral
73	Ismiprämpf	emo	You have ordered a new mobile phone that you have wanted for a long time. It's supposed to arrive today, so you keep anxiously looking for the van.	-0.2878	neutral
74	Ismiprämpf	neu	You ordered food online half an hour ago. Your doorbell is broken, so you regularly check your phone's app to see where the delivery is so that you can go outside on time.	-0.4767	neutral
75	Ismiprämpf	emo	You have ordered your favorite pizza and are really looking forward to it. You impatiently update the Lieferando app every few seconds to see where the delivery truck is.	0.0772	neutral
76	Ismiprämpf	neu	You meet up with a fellow student to study. He*she has never been with you. That's why you stand by the window and wait so that you can show him*her the entrance in the backyard.	0.0	neutral
77	Ismiprämpf	emo	You organized a surprise party to please your brother. You keep going nervously to the window and see where it is. You can't wait to see his smile.	0.7906	emotional
78	Ismiprämpf	neu	Your father wanted to bring you a folder with documents. He only wants to hand it to you briefly, so you sit in front of your house and repeatedly look down the street.	0.4939	neutral
79	Ismiprämpf	emo	You're sitting in a bar waiting for your best friend to finally arrive. You are really looking forward to the long-awaited reunion and keep looking excitedly at the door.	0.8934	emotional
80	Glühm	neu	You're sitting on your couch when the doorbell rings. You are not sure if you misheard and are listening. You sit quietly and wait to see if the doorbell rings again.	-0.2411	neutral
81	Glühm	emo	The doorbell rings and you look through the peephole. It's your awkward neighbor. You're very quiet, worried that she didn't hear you.	-0.4728	neutral
82	Glühm	neu	You are about to read a book when the doorbell rings. You're sure it's the mail. You don't react because you know your roommate is in the hallway anyway.	0.3182	neutral
83	Glühm	emo	You are reading an exciting book when the doorbell rings. It's probably a package for the neighbor. Fearing it might ring again, you hold your breath.	-0.128	neutral
84	Glühm	neu	You are sitting at the kitchen table eating something when the doorbell rings. You're not expecting anyone, it was probably the neighbors' kids. You sit quietly and wait for the doorbell to ring again.	0.0	neutral
85	Glühm	emo	You're seated at the table to eat when the doorbell rings. Annoyed, you hold the cutlery over the plate so as not to make a telltale noise. You hope the person leaves.	0.0772	neutral
86	Glühm	neu	You were mopping the floor in the hallway when the doorbell rang. You don't expect visitors and you don't want to walk on the wet ground. You stay seated because it's probably not that important.	-0.2057	neutral
87	Glühm	emo	You're in bed for a nap when the doorbell rings. That must be one of the neighbors. You don't feel like opening the door in your pajamas during the day and listen intently to see if the doorbell rings again.	-0.2755	neutral
88	Glühm	neu	You're watching a movie when the doorbell rings. You are unsure whether it rang in the film or at your door. You continue to watch the film and listen carefully to see if the doorbell rings again.	-0.128	neutral
89	Glühm	emo	You are home alone as a child and the doorbell rings. You are not allowed to open the door for anyone. You are very quiet and your heart is pounding as you anxiously hope that the person will finally go away.	0.0	neutral
90	Rugliebast	neu	You order pizza for the whole family. In order not to forget anything, go through the order in your head before dialing the number of the pizzeria.	0.242	neutral
91	Rugliebast	emo	You're terribly excited before a job interview. You pace around the apartment nervously, replaying the answers to potentially nasty questions over and over in your head.	-0.7506	emotional
92	Rugliebast	neu	You want to write a birthday card. You think of a text in your head beforehand so that you don't have to cross anything out.	0.0772	neutral
93	Rugliebast	emo	You want to propose to your partner. Heart pounding, you play through the proposal endlessly in your mind so you don't make a slip.	0.4019	neutral
94	Rugliebast	neu	You go to the baker. While you're standing in line, think about what you want and calculate the price so that you can get it quickly.	0.0772	neutral
95	Rugliebast	emo	You have an important oral exam tomorrow. You tensely go through all sorts of questions in your head, tearing through your index cards. You're afraid of failing.	-0.5719	emotional
96	Rugliebast	neu	You call your Internet provider's hotline because you have a question about your contract. You look for the documents and your customer number to have everything ready.	0.4215	neutral
97	Rugliebast	emo	You need to call a specialist because you urgently need an appointment. Irritated, you take notes before dialing the number. You don't want to be put off.	-0.4445	neutral
98	Rugliebast	neu	You want to call your dentist to arrange the next check-up appointment. You look at your calendar beforehand to think about which dates might suit you.	0.0772	neutral
99	Rugliebast	emo	You have to break up with your partner. You replay the conversation in your head in a bad mood. You don't want to hurt him*her unnecessarily.	-0.2373	neutral
100	Wumeizauch	neu	You are in the canteen with a fellow student. You ask her what you should eat. The person behind you in line advises you not to take the stuffed peppers because they are oversalted.	0.0	neutral
101	Wumeizauch	emo	You tell a friend on the phone that you feel lonely. His/her partner brazenly interferes and says that you should lower your standards in order to find a partner. you feel attacked	-0.5423	emotional
102	Wumeizauch	neu	You sit in the library and write notes on your study sheets. The person sitting across from you whispers that you should write with a ballpoint pen instead of a fountain pen because it won't smudge.	0.0	neutral
103	Wumeizauch	emo	You're annoyed because your mother is lecturing you on how to put your child to sleep at night. you are outraged You didn't ask her opinion.	-0.7269	emotional
104	Wumeizauch	neu	You sit at your desk and think about how to proceed. Your colleague comes over and tells you what he*she would do because he*she had the same problem before.	-0.4019	neutral
105	Wumeizauch	emo	You sit at your desk and brood over a problem. Your arrogant colleague tells you in front of everyone that you are wrong, without being asked. You feel presented.	-0.8402	emotional
106	Wumeizauch	neu	You tell your mother on the phone on the train ride that you would like to do a yoga class. As you hang up, the person next to you recommends a studio in town.	0.5267	emotional
107	Wumeizauch	emo	You argue on the phone with your partner on the train. Suddenly the passenger next to you says that you'd better break up if you're so unhappy. you feel exposed	-0.5293	emotional
108	Wumeizauch	neu	You're downtown to buy some new clothes. In a shop, a salesperson will explain to you that there is a special offer at the moment.	0.4019	neutral
109	Wumeizauch	emo	You wanted to look around the store in peace. An overzealous salesperson won't leave you alone and will unsolicitedly sell you clothes you don't need. You are angry.	0.2705	neutral
110	Häugnung	neu	You are walking down the street when a man starts running next to you. You wonder where he's going. You see him calling and waving to another man. The two seem to know each other.	0.0	neutral
111	Häugnung	emo	You experience a marriage proposal at the next table in the restaurant at dinner. The couple in love looks very happy. You are touched and your heart is warm.	0.8777	emotional
112	Häugnung	neu	You watch a movie on Netflix. The main character visits his parents. You think you should call your parents again because you haven't spoken to them in two weeks.	0.0	neutral
113	Häugnung	emo	You are watching a romance film on Netflix. As in every romantic comedy, there is a declaration of love with a happy ending at the end. You have tears of joy in your eyes.	0.9618	emotional
114	Häugnung	neu	You are at a party and see an acquaintance getting to know new people. You decide to mingle with people a little more to make new acquaintances.	0.4019	neutral
115	Häugnung	emo	You watch how a resident laughs and holds his/her little grandchild in his/her arms in front of a retirement home. It's a scene full of love and affection, so you'll be completely happy too.	0.9412	emotional
116	Häugnung	neu	You went to the airport to pick up your sister. In the arrivals area you notice that someone has been waiting with a luggage trolley. You get one for your sister too.	0.0	neutral
117	Häugnung	emo	You are waiting for your train at the station and watch as a young man picks up his partner with a bouquet of roses. She jumps into his arms, laughing. It is a beautiful moment and you are deeply touched.	0.7964	emotional
118	Häugnung	neu	You see your colleague talking to your boss. You cannot understand what they are saying and you consider for a while what the content of the conversation could be.	0.0	neutral
119	Häugnung	emo	At a party, a friend finally makes a public declaration of love to his crush. The whole room listens and is happy for the two of them. It's almost as romantic as in the movie.	0.9395	emotional
120	Wupforau	neu	You strike up a conversation with someone on the train. It turns out that you are studying the same subject. You assume that you will meet more often at university.	-0.128	neutral
121	Wupforau	emo	You're sitting across from a person on a train who leaves you speechless. He*she is stunning. You have the feeling that this could be your soul mate.	0.4767	neutral
122	Wupforau	neu	In the hallway you meet the family who have just moved into the apartment next to you. You have a short chat. They may hire you as a babysitter.	0.0	neutral
123	Wupforau	emo	At a friend's birthday party, you see one person among the guests who immediately draws you in. You feel very attracted to him/her and you are sure that this is the man/woman of your life.	0.796	emotional
124	Wupforau	neu	You meet your new colleague at work. Your offices are next to each other and you expect to see each other in the hallway more often in the future.	0.0	neutral
125	Wupforau	emo	You immediately find your new colleague attractive. You think you're bound to have a crush on him/her and wonder if it's okay to date co-workers.	0.4939	neutral
126	Wupforau	neu	You get to know the company of a friend. The two seem to get along very well. You think you'll see the two together more often in the future.	0.6801	emotional
127	Wupforau	emo	You go on a blind date and are surprised at how great the two of you get along. You can well imagine that something wonderful will develop from this.	0.8442	emotional
128	Wupforau	neu	You walk your dog and strike up a conversation with another dog owner. It's very likely that you'll run into each other more often on walks in the future.	-0.128	neutral
129	Wupforau	emo	You walk your dog and meet another dog owner. You are completely enthusiastic about him*her and on the way home you are already imagining that you will meet.	0.5413	emotional
130	Bismirbiel	neu	Your roommate asks you to turn up the volume on the TV. You take the remote control and turn it up a few notches just to be sure.	0.3182	neutral
131	Bismirbiel	emo	Your partner watched an episode of your series together without you. You almost feel like crying, you feel betrayed so much. You are angry and blame him*her.	-0.8838	emotional
132	Bismirbiel	neu	You weighed 10 grams too much flour for a cake. You take flour out of the bowl with a ladle and suddenly you are 50 grams short.	0.0	neutral
133	Bismirbiel	emo	Your roommate has already put another empty milk carton back in the fridge. You cannot understand how someone can be so bold and you are angry.	-0.1861	neutral
134	Bismirbiel	neu	You will receive a notification that your email inbox is 80% full. You immediately start deleting and sorting out emails until the inbox is only 15% full.	0.0	neutral
135	Bismirbiel	emo	You were about to put on your new jacket tonight when you see that a seam is slightly torn. You are annoyed and annoyed, although you can exchange them.	-0.7102	emotional
136	Bismirbiel	neu	Your printer reports that the black printer cartridges are almost empty. You order three new ones straight away. So you can be sure that you will always have enough cartridges in the future.	0.4005	neutral
137	Bismirbiel	emo	You are hungry and have ordered food. When the mail comes that delivery cannot be made today, you almost despair with disappointment and indignation.	-0.8148	emotional
138	Bismirbiel	neu	Your dog cheeps briefly near you. You jump up and get the leash to take him outside because he ate something wrong yesterday.	-0.4767	neutral
139	Bismirbiel	emo	You are outraged to find that your brother has unplugged your phone to charge his. You get upset about it and snap at him in a bad mood.	-0.8625	emotional
140	Enkmitas	neu	You were about to access your online banking website. You hesitate for a moment because you've forgotten the URL. Your fingers hover over the keys.	-0.4588	neutral
141	Enkmitas	emo	In a discussion, you can't think of the right word fast enough. You get angry because it makes you look stupid and weakens your argument.	-0.8885	emotional
142	Enkmitas	neu	You call your mother. During the conversation, you want to ask about your elderly neighbor, but you briefly forget their name.	-0.296	neutral
